Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data,Government investment,data,Top marginal income tax rate,data,Top marginal income and payroll tax rate,data,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data,Standard deviation of inflation,data,Inflation: Most recent year,data,Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data,Mean tariff rate,data,Standard deviation of tariff rates,data,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Financial Openness,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Impartial Public Administration,Licensing restrictions,Tax compliance,Business regulations,Regulation
2017,BRA,Brazil,6.68,98,3,4.7,24.01,5.22,18.06,10,9.34,8,28,4,44,6,8.18,6.82,6.13,4.76,5.29,6.67,4.41,3.32,8.2,4.19,1,5.37,8.9,5.49,9.22,1.94,9.31,3.45,10,9.36,8.62,2.07,7.32,13.4,6.14,9.65,7.36,4.02,7.87,5.94,10,1.66,2.31,9.62,4.53,6.96,5,4.9,5,4.97,2.23,1.71,5.19,6,7.13,3,4.21,1.05,6,9.27,5.69,5,5.76,5.46,4.88
2017,BRB,Barbados,6.57,108,3,7.76,13.61,5.95,15.38,8.74,19.41,7,34,3,50,5,7.05,6.9,7.62,7.1,6.5,,6.56,3.8,6.57,6.4,0.88,5.99,7.34,13.32,9.12,2.19,9.07,4.66,0,6.38,8.01,2.99,7.86,10.7,5.63,10.91,7.17,,5.29,5.29,10,1.66,0,6.31,2.65,6.28,8,0.86,10,6.29,8.9,,,8,5.68,10,8.15,,6.67,9.44,8.44,5,7.44,7.4,7.28
2017,BRN,Brunei Darussalam,7.3,63,2,0,56.39,,,10,12.63,10,0,10,7,10,,6.67,5.69,5.07,5.54,8.33,8.33,4.17,4.8,6.71,0.71,5.19,9.99,-0.07,5.59,11.02,9.97,-0.17,10,8.89,,,9.96,0.2,9.29,1.78,9.62,5.3,2.34,3.82,10,,6.15,4.87,5.51,7.24,,8.26,10,9.13,10,4.69,7.47,10,10,10,8.69,3.85,8,9.81,,9.56,,7.8,8.54
2017,BTN,Bhutan,6.72,94,3,4.78,23.75,9.86,1.02,7.24,24.67,9,25,8,26,8.5,5.28,7.13,6.52,6.78,5.84,,6.39,7.37,6.9,2.46,0.94,5.86,8.98,5.09,9.39,1.51,9.23,3.86,0,6.9,9.03,1.46,5.54,22.3,4.2,14.5,6.26,4.92,9.5,7.21,10,1.66,0,0.11,0.59,6.01,5,9.3,9,7.77,10,2.01,5.63,10,10,10,7.94,2.54,4.22,9.58,10,8.47,9.18,7.33,7.68
2017,BWA,Botswana,7.63,41,1,3.68,27.5,8.81,4.85,7.69,23.07,9,25,9,25,9,5.05,6.85,6.54,7,6.81,8.33,5.97,3.07,7.81,6.06,0.88,6.07,9.97,-0.14,8.35,4.13,9.34,3.31,10,9.41,1.03,13.45,8.48,7.6,5.59,11.02,5.04,5.54,9.39,7.47,10,10,5.38,10,8.46,7.74,8,9.57,10,9.19,10,4.78,6.36,10,3.78,10,7.49,4.22,6.67,8.46,8.45,9.26,7.88,7.49,8.06
2017,CAF,Central African Republic,5.29,152,4,7.5,14.5,9.58,2.04,0,55.86,5,40,,,5,8.6,6.14,4.72,2.44,3.92,,3.57,0.51,4.97,5.71,0.76,3.26,7.91,10.45,9.04,2.41,9.18,4.1,0,6.53,6.49,5.27,6.4,18,6.18,9.54,6.36,3.28,2.28,2.78,10,1.66,1.54,1.66,1.62,5.19,5,9.59,10,8.2,0,,,6,7.01,0,3.25,,1.11,7.66,3.52,7.32,3.24,4.57,5.34
2017,CAN,Canada,8.22,8,1,3.97,26.5,7.11,11.09,9.56,16.55,5,45-54,5,45-54,5,7.66,6.66,8.35,8.06,8.4,10,8.09,5.82,8.97,8.76,1,8.31,9.14,4.29,9.53,1.17,9.68,1.6,10,9.59,9.73,0.41,9.2,4,2.08,19.8,7,5.91,9.89,7.9,10,10,7.69,0.11,5.93,7.71,10,9.87,10,9.96,8.9,6.19,7.41,8,8.27,10,8.13,4.56,9.78,9.95,10,6.85,9.51,8.44,8.84
2017,CHE,Switzerland,8.57,4,1,6.39,18.26,5.98,15.26,10,12.36,8,26-43,6,35-50,7,9.04,7.68,8.74,8.7,9.23,10,8.25,6.25,9.6,9.23,1,8.75,9.78,1.11,9.89,0.27,9.89,0.53,10,9.89,9.91,0.14,8.72,6.4,0,29.25,6.21,6.23,9.89,8.06,10,10,3.08,9.18,7.42,7.92,8,10,10,9.33,10,7.77,8.35,6,10,5,7.85,6.21,8,9.57,10,8.37,9.52,8.61,8.6
2017,CHL,Chile,7.91,20,1,6.38,18.31,8.5,6.02,10,10.81,7,35,7,35,7,8.4,8.06,7.52,6.88,7.01,7.5,7.31,5.52,9.07,7.99,0.82,6.7,8.82,5.92,9.47,1.32,9.56,2.18,10,9.46,9.79,0.31,8.8,6,9.76,0.6,9.45,7.15,6.83,6.99,10,6.99,3.08,9.62,6.57,8.25,8,8.82,9,8.61,6.67,3.37,8.35,10,2.52,0,5.15,3.94,7.78,9.75,7.88,7.74,8.18,7.54,7.1
2017,CHN,China,6.5,114,3,3.01,29.75,8.29,6.76,9.17,17.89,6,45,6,45,6,4.26,6.15,4.31,5.18,5.96,5,4.42,4.74,8.32,5.98,0.88,5.17,9.98,-0.11,9.33,1.68,9.68,1.59,5,8.5,9.35,0.97,8.04,9.8,6.94,7.64,8.11,5.81,8.17,6.99,10,1.66,0,1.33,0.99,6.52,2,9.41,10,7.14,8.9,5.77,6.05,10,2.52,0,5.54,5.63,3.78,9.72,3.82,8.41,3.44,5.8,6.16
